indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2,source
red list index (cms-listed bird species),1,0,CMS,NA,1,1,0,1,1,NA,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity,CMS
red list index (migratory bird species),1,0,CMS,NA,1,1,0,1,1,NA,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity,CMS
red list index (cms-listed bird and mammal species),1,0,CMS,NA,1,1,0,1,1,NA,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity,CMS
living planet index (migratory species),1,0,CMS,NA,1,1,0,1,1,NA,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity,CMS
wild bird index (migratory birds),1,0,CMS,NA,1,1,0,1,1,NA,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity,CMS
trends in distribution of migratory species,1,0,CMS,NA,1,1,0,1,NA,NA,biodiversity,Knowledge systems,Change in biodiversity,Information on biodiversity,CMS
"trends in conservation status, including connectivity, of identified habitats of key importance for migratory species",1,0,CMS,NA,1,1,0,1,NA,NA,biodiversity,Knowledge systems,Change in biodiversity,Information on biodiversity,CMS
coverage of key habitats for migratory species in protected areas,1,0,CMS,NA,1,1,0,1,NA,NA,ecosystems,Governance,Area conservation,Nature-based legislation,CMS
trends in protected area coverage of each key biodiversity area identified for cms-listed bird and mammal species,1,0,CMS,NA,1,1,0,1,NA,NA,ecosystems,Governance,Change in ecosystems,Nature-based legislation,CMS
trends in protected area coverage of each key biodiversity area identified for migratory bird and mammal species,1,0,CMS,NA,1,1,0,1,NA,NA,ecosystems,Governance,Change in ecosystems,Nature-based legislation,CMS
management effectiveness of areas protected specifically for migratory species,1,0,CMS,NA,1,1,0,1,NA,NA,biodiversity,Governance,Change in biodiversity,Nature-based legislation,CMS
